student_id,time_organization
311,***
4735,*Surtout durant la fin de semaine - peu en semaine*Surtout en soiree : apres 18h00.*Jamais
3387,Plage de temps strictement reservee*Surtout durant la fin de semaine - peu en semaine**Parfois
3380,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*option_i4x-TELUQ-TUL1-problem-7263404c883d4411a0879cf73ff5f652_2_4_dummy_default
1227,*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
2806,*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Jamais
5549,*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Jamais
4107,*Surtout durant la fin de semaine - peu en semaine*Surtout en soiree : apres 18h00.*Parfois
3825,*Surtout durant la fin de semaine - peu en semaine*Surtout en soiree : apres 18h00.*Jamais
2969,*En semaine ou la fin de semaine a egalite**Jamais
5816,Plage de temps reservee avec quelques exceptions*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
4810,Plage de temps strictement reservee*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
871,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
680,*En semaine ou la fin de semaine a egalite**Parfois
1904,*En semaine ou la fin de semaine a egalite**Jamais
1258,***
3494,***
2845,*Surtout durant la fin de semaine - peu en semaine*Surtout en soiree : apres 18h00.*Parfois
3046,*En semaine ou la fin de semaine a egalite**Jamais
5017,*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Jamais
4915,*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Parfois
1822,*Surtout durant la fin de semaine - peu en semaine**Jamais
6189,Plage de temps strictement reservee*Surtout durant la fin de semaine - peu en semaine**Tres souvent
1969,*Surtout durant la fin de semaine - peu en semaine*Surtout en soiree : apres 18h00.*Jamais
4306,*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Regulierement
2697,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Jamais
